Confirmed Disease Name,Year of Onset,Month of Onset,Gender,"Imported Case (0: No, 1: Yes)",Age Group,Number of Confirmed Cases,County/City Code,Township/District Code
487a,2018,1,F,0,70+,2,,
487a,2018,1,M,0,70+,2,,
487a,2018,1,M,0,70+,1,,
487a,2018,1,M,0,50~54,1,,
487a,2018,1,F,0,70+,1,,
487a,2018,1,M,0,70+,1,,
487a,2018,1,F,0,70+,1,,
487a,2018,1,F,0,5~9,1,,
487a,2018,1,M,0,60~64,1,,
487a,2018,1,F,0,70+,1,,
487a,2018,1,F,0,60~64,1,,
487a,2018,1,M,0,70+,1,,
487a,2018,1,F,0,70+,1,,
487a,2018,1,M,0,70+,1,,
487a,2018,1,M,0,70+,1,,
487a,2018,1,F,0,25~29,1,,
487a,2018,1,F,0,70+,1,,
487a,2018,1,F,0,70+,1,,
487a,2018,1,M,0,50~54,1,,
487a,2018,1,M,0,20~24,1,,
487a,2018,1,M,0,70+,1,,
487a,2018,1,M,0,50~54,1,,
487a,2018,1,M,0,70+,2,,
487a,2018,1,F,0,70+,1,,
487a,2018,1,M,0,50~54,1,,
487a,2018,1,F,0,30~34,1,,
487a,2018,1,M,0,70+,1,,
487a,2018,1,M,0,70+,1,,
487a,2018,1,F,0,70+,1,,
487a,2018,1,M,0,70+,1,,
487a,2018,1,F,1,65~69,1,,
487a,2018,1,F,0,70+,2,,
487a,2018,1,M,0,60~64,1,,
487a,2018,1,F,0,70+,1,,
487a,2018,1,M,0,70+,1,,
487a,2018,1,M,0,70+,1,,
487a,2018,1,M,0,5~9,1,,
487a,2018,1,M,0,55~59,1,,
487a,2018,1,F,0,65~69,2,,
487a,2018,1,M,0,70+,1,,
487a,2018,1,M,0,25~29,1,,
487a,2018,1,M,0,60~64,1,,
487a,2018,1,M,0,70+,1,,
487a,2018,1,M,0,2,1,,
487a,2018,1,F,0,65~69,1,,
487a,2018,1,F,0,1,1,,
487a,2018,1,F,0,70+,1,,
487a,2018,1,F,0,50~54,1,,
487a,2018,1,M,0,55~59,1,,
487a,2018,1,M,0,60~64,1,,
487a,2018,1,M,0,65~69,1,,
487a,2018,1,F,0,70+,3,,
487a,2018,1,M,0,70+,1,,
487a,2018,1,F,0,70+,1,,
487a,2018,1,F,0,60~64,1,,
487a,2018,1,F,0,65~69,1,,
487a,2018,1,F,0,70+,6,,
487a,2018,1,M,0,70+,2,,
487a,2018,1,M,0,55~59,1,,
487a,2018,1,F,0,65~69,1,,
487a,2018,1,F,0,45~49,1,,
487a,2018,1,M,0,60~64,1,,
487a,2018,1,F,0,70+,1,,
487a,2018,1,M,0,70+,1,,
487a,2018,1,F,0,70+,2,,
487a,2018,1,M,0,70+,1,,
487a,2018,1,M,0,60~64,1,,
487a,2018,1,F,0,70+,1,,
487a,2018,1,M,0,70+,2,,
487a,2018,1,M,0,60~64,1,,
487a,2018,1,M,0,70+,2,,
487a,2018,1,M,0,70+,1,,
487a,2018,1,F,0,70+,1,,
487a,2018,1,M,0,60~64,1,,
487a,2018,1,F,0,25~29,1,,
487a,2018,1,M,0,55~59,1,,
487a,2018,1,M,0,55~59,1,,
487a,2018,1,F,0,70+,1,,
487a,2018,1,M,0,65~69,1,,
487a,2018,1,M,0,70+,1,,
487a,2018,1,M,0,60~64,1,,
487a,2018,1,M,0,70+,1,,
487a,2018,1,M,0,70+,1,,
487a,2018,1,M,0,70+,1,,
487a,2018,1,M,0,0,1,,
487a,2018,1,M,0,70+,1,,
487a,2018,1,M,0,15~19,1,,
487a,2018,1,M,0,55~59,1,,
487a,2018,1,F,0,65~69,1,,
487a,2018,1,M,0,65~69,1,,
487a,2018,1,F,0,70+,1,,
487a,2018,1,F,0,60~64,1,,
487a,2018,1,M,0,70+,1,,
487a,2018,1,M,0,40~44,1,,
487a,2018,1,F,0,50~54,1,,
487a,2018,1,M,0,65~69,1,,
487a,2018,1,F,0,70+,1,,
487a,2018,1,M,0,70+,2,,
487a,2018,1,M,0,60~64,1,,
487a,2018,1,M,0,55~59,1,,
487a,2018,1,F,0,70+,1,,
487a,2018,1,M,0,70+,2,,
487a,2018,1,F,0,15~19,1,,
487a,2018,1,F,0,70+,1,,
487a,2018,1,M,0,55~59,1,,
487a,2018,1,M,0,70+,1,,
487a,2018,1,F,0,45~49,1,,
487a,2018,1,M,0,45~49,1,,
487a,2018,1,F,0,65~69,1,,
487a,2018,1,F,0,70+,1,,
487a,2018,1,M,0,70+,1,,
487a,2018,1,M,0,70+,1,,
487a,2018,1,M,1,35~39,1,,
487a,2018,1,M,0,5~9,1,,
487a,2018,1,F,0,70+,2,,
487a,2018,1,F,0,50~54,1,,
487a,2018,1,F,0,70+,2,,
487a,2018,1,M,0,70+,1,,
487a,2018,1,F,0,70+,2,,
487a,2018,1,M,0,55~59,1,,
487a,2018,1,F,0,70+,1,,
487a,2018,1,M,0,70+,1,,
487a,2018,1,M,0,55~59,1,,
487a,2018,1,F,0,70+,1,,
487a,2018,1,M,0,65~69,1,,
487a,2018,1,M,0,70+,1,,
487a,2018,1,M,0,35~39,1,,
487a,2018,1,M,0,45~49,1,,
487a,2018,1,F,0,65~69,1,,
487a,2018,1,M,0,70+,1,,
487a,2018,1,M,0,65~69,1,,
487a,2018,1,M,0,5~9,1,,
487a,2018,1,F,0,60~64,1,,
487a,2018,1,M,0,65~69,1,,
487a,2018,1,F,0,55~59,1,,
487a,2018,1,F,0,5~9,1,,
487a,2018,1,M,0,45~49,1,,
487a,2018,1,F,0,70+,1,,
487a,2018,1,F,0,50~54,1,,
487a,2018,1,M,0,70+,1,,
487a,2018,1,F,0,3,1,,
487a,2018,1,M,0,55~59,1,,
487a,2018,1,M,0,70+,1,,
487a,2018,1,M,0,50~54,1,,
487a,2018,1,M,0,55~59,1,,
487a,2018,1,M,0,60~64,2,,
487a,2018,1,F,0,70+,1,,
487a,2018,1,M,0,65~69,1,,
487a,2018,1,M,0,60~64,1,,
487a,2018,1,M,0,70+,1,,
487a,2018,1,M,0,70+,1,,
487a,2018,1,M,0,60~64,1,,
487a,2018,1,M,0,70+,1,,
487a,2018,1,M,0,70+,1,,
487a,2018,1,M,0,70+,1,,
487a,2018,1,F,1,20~24,1,,
487a,2018,1,F,0,1,1,,
487a,2018,1,M,0,1,1,,
487a,2018,1,F,0,70+,1,,
487a,2018,1,F,0,45~49,1,,
487a,2018,1,M,0,35~39,1,,
487a,2018,1,F,0,55~59,1,,
487a,2018,1,M,0,65~69,1,,
487a,2018,1,M,0,70+,1,,
487a,2018,1,M,0,60~64,1,,
487a,2018,1,F,0,70+,2,,
487a,2018,1,M,0,70+,1,,
487a,2018,1,F,0,50~54,1,,
487a,2018,1,M,0,30~34,1,,
487a,2018,1,F,0,70+,1,,
487a,2018,1,M,0,70+,1,,
487a,2018,2,F,0,70+,1,,
487a,2018,2,F,0,70+,1,,
487a,2018,2,F,0,35~39,1,,
487a,2018,2,F,0,65~69,1,,
487a,2018,2,M,0,65~69,1,,
487a,2018,2,F,0,40~44,1,,
487a,2018,2,M,0,65~69,1,,
487a,2018,2,F,0,65~69,1,,
487a,2018,2,F,0,55~59,1,,
487a,2018,2,M,0,70+,1,,
487a,2018,2,F,0,70+,1,,
487a,2018,2,M,0,60~64,1,,
487a,2018,2,M,0,70+,1,,
487a,2018,2,M,0,70+,1,,
487a,2018,2,M,0,65~69,1,,
487a,2018,2,M,0,60~64,1,,
487a,2018,2,M,0,70+,1,,
487a,2018,2,M,0,70+,1,,
487a,2018,2,F,0,70+,1,,
487a,2018,2,M,0,70+,1,,
487a,2018,2,F,0,2,1,,
487a,2018,2,M,0,55~59,1,,
487a,2018,2,M,0,60~64,1,,
487a,2018,2,F,0,70+,1,,
487a,2018,2,M,0,70+,1,,
487a,2018,2,F,0,60~64,1,,
487a,2018,2,M,0,55~59,1,,
487a,2018,2,M,0,50~54,1,,
487a,2018,2,M,0,70+,1,,
487a,2018,2,M,0,60~64,1,,
487a,2018,2,F,0,70+,1,,
487a,2018,2,M,0,70+,2,,
487a,2018,2,F,0,70+,1,,
487a,2018,2,M,0,70+,1,,
487a,2018,2,M,0,10~14,1,,
487a,2018,2,F,0,70+,1,,
487a,2018,2,M,0,70+,2,,
487a,2018,2,F,0,70+,1,,
487a,2018,2,M,0,55~59,1,,
487a,2018,2,F,0,70+,1,,
487a,2018,2,F,0,55~59,1,,
487a,2018,2,M,0,70+,1,,
487a,2018,2,M,0,70+,1,,
487a,2018,2,M,0,70+,1,,
487a,2018,2,F,0,45~49,1,,
487a,2018,2,F,0,70+,1,,
487a,2018,2,F,0,50~54,1,,
487a,2018,2,F,0,55~59,1,,
487a,2018,2,M,0,70+,1,,
487a,2018,2,F,0,45~49,1,,
487a,2018,2,F,0,65~69,1,,
487a,2018,2,M,0,55~59,1,,
487a,2018,2,F,0,70+,1,,
487a,2018,2,F,0,60~64,2,,
487a,2018,2,M,0,60~64,1,,
487a,2018,2,F,0,70+,1,,
487a,2018,2,F,0,35~39,1,,
487a,2018,2,M,0,70+,1,,
487a,2018,2,M,0,70+,1,,
487a,2018,2,F,0,70+,1,,
487a,2018,2,F,0,40~44,1,,
487a,2018,2,F,0,65~69,1,,
487a,2018,2,F,0,70+,1,,
487a,2018,2,F,0,55~59,1,,
487a,2018,2,M,0,40~44,1,,
487a,2018,2,F,0,70+,1,,
487a,2018,2,F,0,70+,1,,
487a,2018,2,F,0,60~64,1,,
487a,2018,2,M,0,70+,1,,
487a,2018,2,F,0,70+,1,,
487a,2018,2,M,0,0,1,,
487a,2018,2,M,0,55~59,1,,
487a,2018,2,F,0,70+,1,,
487a,2018,2,M,0,70+,1,,
487a,2018,2,F,0,70+,1,,
487a,2018,2,F,0,60~64,1,,
487a,2018,2,M,0,70+,1,,
487a,2018,2,F,0,70+,1,,
487a,2018,2,M,0,70+,3,,
487a,2018,2,M,0,70+,1,,
487a,2018,2,F,0,55~59,1,,
487a,2018,2,M,0,55~59,1,,
487a,2018,2,F,0,70+,1,,
487a,2018,2,M,0,70+,1,,
487a,2018,2,F,0,70+,1,,
487a,2018,2,M,0,70+,1,,
487a,2018,2,F,0,70+,2,,
487a,2018,2,F,0,45~49,1,,
487a,2018,2,F,0,65~69,2,,
487a,2018,2,F,0,70+,2,,
487a,2018,2,M,0,70+,2,,
487a,2018,2,F,0,70+,1,,
487a,2018,2,M,0,70+,1,,
487a,2018,2,M,0,55~59,1,,
487a,2018,2,M,0,70+,3,,
487a,2018,2,M,0,55~59,1,,
487a,2018,2,M,0,40~44,1,,
487a,2018,2,M,0,65~69,1,,
487a,2018,2,F,0,70+,1,,
487a,2018,2,M,0,70+,1,,
487a,2018,2,F,0,1,1,,
487a,2018,2,F,0,25~29,1,,
487a,2018,2,M,0,60~64,1,,
487a,2018,2,M,0,70+,1,,
487a,2018,2,F,0,70+,1,,
487a,2018,2,M,0,45~49,1,,
487a,2018,2,M,0,70+,2,,
487a,2018,2,F,0,10~14,1,,
487a,2018,2,M,0,45~49,1,,
487a,2018,2,F,0,70+,1,,
487a,2018,2,M,0,70+,2,,
487a,2018,2,F,0,35~39,1,,
487a,2018,2,F,0,70+,1,,
487a,2018,2,M,0,60~64,1,,
487a,2018,2,F,0,70+,1,,
487a,2018,2,M,0,70+,1,,
487a,2018,2,M,0,5~9,1,,
487a,2018,2,F,0,60~64,1,,
487a,2018,2,M,0,65~69,1,,
487a,2018,2,F,0,70+,1,,
487a,2018,2,F,0,70+,1,,
487a,2018,2,F,0,65~69,1,,
487a,2018,2,M,0,60~64,1,,
487a,2018,2,F,0,70+,1,,
487a,2018,2,M,0,60~64,2,,
487a,2018,2,F,0,70+,1,,
487a,2018,2,M,0,1,1,,
487a,2018,2,M,0,45~49,1,,
487a,2018,2,F,0,70+,1,,
487a,2018,2,F,0,4,1,,
487a,2018,2,F,0,70+,1,,
487a,2018,2,F,0,20~24,1,,
487a,2018,2,M,0,55~59,1,,
487a,2018,2,F,0,5~9,1,,
487a,2018,2,F,0,70+,1,,
487a,2018,2,M,0,70+,2,,
487a,2018,2,F,0,40~44,1,,
487a,2018,2,M,0,65~69,1,,
487a,2018,2,M,0,70+,1,,
487a,2018,2,F,0,40~44,1,,
487a,2018,2,M,0,60~64,1,,
487a,2018,2,F,0,70+,1,,
487a,2018,2,M,0,25~29,1,,
487a,2018,2,F,0,35~39,1,,
487a,2018,2,M,0,60~64,1,,
487a,2018,2,M,0,15~19,1,,
487a,2018,2,M,0,1,1,,
487a,2018,2,M,0,40~44,1,,
487a,2018,2,M,0,40~44,1,,
487a,2018,2,F,0,65~69,1,,
487a,2018,2,F,0,70+,1,,
487a,2018,2,M,0,70+,1,,
487a,2018,2,F,0,60~64,1,,
487a,2018,2,F,0,70+,1,,
487a,2018,2,F,0,70+,1,,
487a,2018,2,F,0,55~59,1,,
487a,2018,2,M,0,55~59,2,,
487a,2018,2,M,0,60~64,1,,
487a,2018,2,F,0,65~69,2,,
487a,2018,2,M,0,55~59,2,,
487a,2018,2,F,0,5~9,1,,
487a,2018,2,F,0,70+,1,,
487a,2018,2,M,0,70+,1,,
487a,2018,2,M,0,45~49,1,,
487a,2018,2,M,0,50~54,1,,
487a,2018,2,M,0,70+,1,,
487a,2018,2,F,0,70+,1,,
487a,2018,2,M,0,65~69,1,,
487a,2018,2,F,0,55~59,1,,
487a,2018,2,F,0,60~64,1,,
487a,2018,2,M,0,70+,1,,
487a,2018,2,M,0,60~64,1,,
487a,2018,2,M,0,55~59,1,,
487a,2018,2,F,0,70+,1,,
487a,2018,2,M,0,65~69,1,,
487a,2018,2,F,0,70+,1,,
487a,2018,2,M,0,70+,1,,
487a,2018,2,F,0,65~69,1,,
487a,2018,2,M,0,65~69,1,,
487a,2018,2,M,0,70+,1,,
487a,2018,2,F,0,70+,1,,
487a,2018,2,F,0,60~64,2,,
487a,2018,2,M,0,70+,1,,
487a,2018,2,F,0,55~59,1,,
487a,2018,2,F,0,70+,1,,
487a,2018,2,F,0,45~49,1,,
487a,2018,2,M,0,65~69,1,,
487a,2018,2,M,0,60~64,1,,
487a,2018,2,M,0,70+,1,,
487a,2018,2,M,0,60~64,1,,
487a,2018,2,M,0,55~59,1,,
487a,2018,2,F,0,70+,1,,
487a,2018,2,M,0,55~59,1,,
487a,2018,2,F,0,60~64,1,,
487a,2018,2,F,0,70+,2,,
487a,2018,2,M,0,70+,1,,
487a,2018,2,F,0,60~64,1,,
487a,2018,2,F,0,70+,2,,
487a,2018,2,M,1,70+,1,,
487a,2018,2,M,0,70+,1,,
487a,2018,2,F,0,70+,1,,
487a,2018,2,M,0,70+,1,,
487a,2018,2,F,0,65~69,1,,
487a,2018,2,F,0,55~59,1,,
487a,2018,2,F,0,70+,1,,
487a,2018,2,M,0,35~39,1,,
487a,2018,2,F,0,70+,1,,
487a,2018,2,M,0,70+,2,,
487a,2018,2,F,0,70+,1,,
487a,2018,2,M,0,70+,2,,
487a,2018,2,M,0,45~49,1,,
487a,2018,2,M,0,55~59,1,,
487a,2018,2,M,0,70+,2,,
487a,2018,2,M,0,50~54,1,,
487a,2018,2,M,0,65~69,1,,
487a,2018,2,M,0,70+,1,,
487a,2018,2,M,0,35~39,1,,
487a,2018,2,M,0,60~64,1,,
487a,2018,2,M,0,55~59,1,,
487a,2018,2,F,0,70+,1,,
487a,2018,2,M,0,70+,2,,
487a,2018,3,F,0,70+,1,,
487a,2018,3,F,0,55~59,1,,
487a,2018,3,M,0,30~34,1,,
487a,2018,3,F,0,70+,1,,
487a,2018,3,M,0,65~69,1,,
487a,2018,3,M,0,70+,1,,
487a,2018,3,F,0,70+,1,,
487a,2018,3,F,0,0,1,,
487a,2018,3,M,0,70+,1,,
487a,2018,3,M,0,70+,1,,
487a,2018,3,M,0,70+,1,,
487a,2018,3,M,0,40~44,1,,
487a,2018,3,F,0,65~69,1,,
487a,2018,3,M,0,65~69,1,,
487a,2018,3,F,0,45~49,1,,
487a,2018,3,M,0,55~59,1,,
487a,2018,3,F,0,65~69,1,,
487a,2018,3,F,0,70+,1,,
487a,2018,3,M,0,15~19,1,,
487a,2018,3,M,0,70+,1,,
487a,2018,3,M,0,70+,1,,
487a,2018,3,M,0,55~59,1,,
487a,2018,3,F,0,70+,1,,
487a,2018,3,F,0,55~59,1,,
487a,2018,3,M,0,50~54,1,,
487a,2018,3,M,0,35~39,1,,
487a,2018,3,M,0,60~64,1,,
487a,2018,3,F,0,70+,1,,
487a,2018,3,M,0,70+,1,,
487a,2018,3,M,0,70+,1,,
487a,2018,3,F,0,60~64,1,,
487a,2018,3,M,0,70+,3,,
487a,2018,3,M,0,70+,1,,
487a,2018,3,F,0,70+,1,,
487a,2018,3,M,0,70+,1,,
487a,2018,3,M,0,50~54,1,,
487a,2018,3,M,0,65~69,1,,
487a,2018,3,F,0,50~54,1,,
487a,2018,3,M,0,70+,1,,
487a,2018,3,M,0,55~59,1,,
487a,2018,3,F,0,2,1,,
487a,2018,3,F,0,70+,2,,
487a,2018,3,M,0,65~69,1,,
487a,2018,3,F,0,55~59,1,,
487a,2018,3,F,0,55~59,1,,
487a,2018,3,M,0,70+,1,,
487a,2018,3,F,0,70+,1,,
487a,2018,3,F,0,35~39,1,,
487a,2018,3,M,0,70+,1,,
487a,2018,3,M,0,70+,2,,
487a,2018,3,M,0,70+,1,,
487a,2018,3,M,0,70+,1,,
487a,2018,3,F,0,60~64,1,,
487a,2018,3,F,0,70+,1,,
487a,2018,3,F,0,55~59,1,,
487a,2018,3,F,0,70+,2,,
487a,2018,3,F,0,70+,2,,
487a,2018,3,M,0,70+,1,,
487a,2018,3,M,0,55~59,1,,
487a,2018,3,M,0,70+,1,,
487a,2018,3,M,0,50~54,1,,
487a,2018,3,F,0,70+,1,,
487a,2018,3,F,0,45~49,1,,
487a,2018,3,M,0,70+,1,,
487a,2018,3,M,0,65~69,1,,
487a,2018,3,F,0,70+,1,,
487a,2018,3,F,0,70+,1,,
487a,2018,3,F,0,70+,1,,
487a,2018,3,M,0,40~44,1,,
487a,2018,3,M,0,70+,1,,
487a,2018,3,M,0,45~49,1,,
487a,2018,3,M,0,70+,1,,
487a,2018,3,F,0,55~59,1,,
487a,2018,3,M,0,55~59,1,,
487a,2018,3,F,0,50~54,1,,
487a,2018,3,F,0,45~49,1,,
487a,2018,3,M,0,55~59,1,,
487a,2018,3,M,0,70+,2,,
487a,2018,3,M,0,65~69,1,,
487a,2018,3,F,0,60~64,1,,
487a,2018,3,M,0,65~69,1,,
487a,2018,3,F,0,65~69,1,,
487a,2018,3,M,0,65~69,1,,
487a,2018,3,M,0,70+,1,,
487a,2018,3,M,0,70+,1,,
487a,2018,3,F,0,65~69,1,,
487a,2018,3,M,0,70+,1,,
487a,2018,3,F,0,70+,1,,
487a,2018,3,F,0,60~64,1,,
487a,2018,3,M,0,65~69,1,,
487a,2018,3,M,0,70+,1,,
487a,2018,3,M,0,40~44,1,,
487a,2018,3,M,0,65~69,1,,
487a,2018,3,F,0,70+,1,,
487a,2018,3,M,0,70+,1,,
487a,2018,3,F,0,10~14,1,,
487a,2018,3,M,0,70+,1,,
487a,2018,3,F,0,50~54,1,,
487a,2018,3,F,0,25~29,1,,
487a,2018,3,F,0,70+,1,,
487a,2018,3,M,0,55~59,1,,
487a,2018,3,M,0,70+,1,,
487a,2018,3,M,0,70+,1,,
487a,2018,3,M,0,70+,1,,
487a,2018,3,M,0,50~54,1,,
487a,2018,3,M,0,65~69,1,,
487a,2018,3,M,0,35~39,1,,
487a,2018,3,M,0,30~34,1,,
487a,2018,3,F,0,70+,1,,
487a,2018,3,M,0,70+,1,,
487a,2018,3,M,0,70+,1,,
487a,2018,3,F,0,2,1,,
487a,2018,3,F,0,45~49,1,,
487a,2018,3,M,0,70+,1,,
487a,2018,4,F,0,55~59,1,,
487a,2018,4,F,0,65~69,1,,
487a,2018,4,M,0,70+,1,,
487a,2018,4,M,0,70+,1,,
487a,2018,4,M,0,50~54,1,,
487a,2018,4,F,0,60~64,1,,
487a,2018,4,F,0,5~9,1,,
487a,2018,4,F,0,70+,1,,
487a,2018,4,M,0,70+,1,,
487a,2018,4,M,0,70+,1,,
487a,2018,4,F,0,70+,1,,
487a,2018,4,F,0,3,1,,
487a,2018,4,F,0,35~39,1,,
487a,2018,4,M,0,70+,1,,
487a,2018,4,F,0,65~69,1,,
487a,2018,4,M,0,70+,1,,
487a,2018,4,M,0,65~69,1,,
487a,2018,4,F,0,70+,1,,
487a,2018,4,M,0,5~9,1,,
487a,2018,4,M,0,45~49,1,,
487a,2018,4,F,0,70+,1,,
487a,2018,4,F,0,65~69,1,,
487a,2018,4,M,0,55~59,1,,
487a,2018,4,F,0,55~59,1,,
487a,2018,4,M,0,70+,1,,
487a,2018,4,M,0,70+,1,,
487a,2018,4,F,0,70+,2,,
487a,2018,4,F,0,70+,1,,
487a,2018,4,M,0,55~59,1,,
487a,2018,4,F,0,70+,1,,
487a,2018,4,F,0,70+,1,,
487a,2018,4,M,0,70+,1,,
487a,2018,4,M,0,70+,1,,
487a,2018,4,F,0,60~64,1,,
487a,2018,4,F,0,35~39,1,,
487a,2018,4,M,0,55~59,1,,
487a,2018,4,M,0,70+,1,,
487a,2018,4,F,0,70+,1,,
487a,2018,4,M,0,55~59,1,,
487a,2018,5,F,0,10~14,1,,
487a,2018,5,F,0,70+,1,,
487a,2018,5,F,0,70+,1,,
487a,2018,5,F,0,70+,1,,
487a,2018,5,F,0,70+,1,,
487a,2018,5,F,0,70+,1,,
487a,2018,5,M,1,60~64,1,,
487a,2018,5,F,0,45~49,1,,
487a,2018,5,F,0,70+,1,,
487a,2018,5,M,0,65~69,1,,
487a,2018,5,F,0,55~59,1,,
487a,2018,5,F,0,70+,1,,
487a,2018,5,F,0,45~49,1,,
487a,2018,5,M,0,70+,1,,
487a,2018,5,M,0,70+,1,,
487a,2018,5,M,0,70+,1,,
487a,2018,5,F,0,70+,1,,
487a,2018,5,M,0,60~64,1,,
487a,2018,5,M,0,55~59,1,,
487a,2018,5,F,0,60~64,1,,
487a,2018,5,M,0,50~54,1,,
487a,2018,5,F,0,45~49,1,,
487a,2018,5,M,0,55~59,1,,
487a,2018,5,F,0,10~14,1,,
487a,2018,5,M,0,70+,1,,
487a,2018,5,M,0,70+,1,,
487a,2018,5,M,0,55~59,1,,
487a,2018,5,M,0,65~69,1,,
487a,2018,5,M,0,70+,1,,
487a,2018,5,M,0,70+,1,,
487a,2018,5,M,0,70+,1,,
487a,2018,5,M,0,60~64,1,,
487a,2018,5,F,0,70+,1,,
487a,2018,5,F,0,55~59,1,,
487a,2018,5,M,0,60~64,1,,
487a,2018,5,M,0,40~44,1,,
487a,2018,5,M,0,70+,1,,
487a,2018,5,M,0,70+,1,,
487a,2018,5,F,0,70+,1,,
487a,2018,5,M,0,70+,1,,
487a,2018,6,M,0,60~64,1,,
487a,2018,6,M,0,65~69,1,,
487a,2018,6,M,0,70+,1,,
487a,2018,6,F,0,70+,1,,
487a,2018,6,F,0,70+,1,,
487a,2018,6,F,0,45~49,1,,
487a,2018,6,M,0,70+,1,,
487a,2018,6,M,0,70+,1,,
487a,2018,6,M,0,65~69,1,,
487a,2018,6,M,0,70+,1,,
487a,2018,6,F,0,70+,1,,
487a,2018,6,M,0,70+,1,,
487a,2018,6,F,0,70+,1,,
487a,2018,6,M,0,70+,1,,
487a,2018,6,M,0,55~59,1,,
487a,2018,6,F,0,35~39,1,,
487a,2018,6,M,0,70+,1,,
487a,2018,6,M,0,70+,1,,
487a,2018,6,F,0,20~24,1,,
487a,2018,6,F,0,10~14,1,,
487a,2018,6,M,0,70+,1,,
487a,2018,6,F,0,35~39,1,,
487a,2018,6,F,0,65~69,1,,
487a,2018,6,M,0,65~69,1,,
487a,2018,6,F,0,50~54,1,,
487a,2018,6,M,0,70+,1,,
487a,2018,6,F,0,5~9,1,,
487a,2018,6,M,0,60~64,1,,
487a,2018,6,M,0,50~54,1,,
487a,2018,6,M,0,45~49,1,,
487a,2018,6,M,0,55~59,1,,
487a,2018,6,M,0,55~59,1,,
487a,2018,6,F,0,55~59,1,,
487a,2018,6,F,0,70+,1,,
487a,2018,6,M,0,70+,1,,
487a,2018,6,F,0,25~29,1,,
487a,2018,6,M,0,70+,1,,
487a,2018,6,M,0,70+,1,,
487a,2018,6,F,0,60~64,1,,
487a,2018,6,F,0,70+,1,,
487a,2018,6,M,0,70+,1,,
487a,2018,6,M,0,70+,1,,
487a,2018,6,M,0,10~14,1,,
487a,2018,6,F,0,1,1,,
487a,2018,6,F,0,70+,1,,
487a,2018,6,M,0,70+,1,,
487a,2018,7,F,0,70+,1,,
487a,2018,7,F,0,70+,1,,
487a,2018,7,M,0,70+,1,,
487a,2018,7,M,0,45~49,1,,
487a,2018,7,M,0,10~14,1,,
487a,2018,7,M,0,70+,2,,
487a,2018,7,M,0,70+,1,,
487a,2018,7,M,0,65~69,1,,
487a,2018,7,F,0,70+,1,,
487a,2018,7,F,0,70+,1,,
487a,2018,7,M,0,70+,1,,
487a,2018,7,M,0,45~49,1,,
487a,2018,7,M,0,70+,1,,
487a,2018,7,F,0,70+,1,,
487a,2018,7,F,0,70+,1,,
487a,2018,7,M,0,60~64,1,,
487a,2018,7,M,0,70+,1,,
487a,2018,7,M,0,50~54,1,,
487a,2018,7,M,0,70+,1,,
487a,2018,7,M,0,65~69,1,,
487a,2018,7,F,0,30~34,1,,
487a,2018,7,F,0,65~69,1,,
487a,2018,7,F,0,70+,1,,
487a,2018,7,F,0,60~64,1,,
487a,2018,7,M,0,65~69,1,,
